planet_name,mission,habitability_class,pl_rade,pl_eqt,pl_insol,pl_orbper,pl_orbsmax,pl_orbeccen,st_teff,st_rad,st_mass,st_lum,stellar_type,hz_position,esi_overall,in_habitable_zone,potentially_habitable,n_imputed,derived_fields,discovery_year,pl_masse,disposition
KOI-K02117.01,kepler,NON_HABITABLE,1.84,520.0,17.3,13.36019864,0.1002,0.0,4500.0,0.688,0.768,0.17487254955631204,K,-0.9797006675673665,0.2815573462224681,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02185.01,kepler,NON_HABITABLE,2.09,451.0,9.81,76.957056,0.3436,0.0,5878.0,1.041,0.912,1.1655059535202006,G,-0.8712892256948247,0.356542296537465,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02186.01,kepler,NON_HABITABLE,3.79,620.0,34.95,14.97974335,0.1106,0.0,5062.0,0.853,0.803,0.43040899201024724,K,-1.0775943813461157,0.17290846319762507,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02188.02,kepler,NON_HABITABLE,0.86,983.0,220.68,6.7445683,0.0693,0.0,6106.0,0.923,0.974,1.0669039234577058,F,-1.2174742129912983,0.08236536188532148,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02189.01,kepler,NON_HABITABLE,4.44,459.0,10.46,33.35859852,0.1854,0.0,5009.0,0.799,0.763,0.3620698780215043,K,-0.8852848305936815,0.29406994668058395,False,False,1,pl_orbeccen,,,CANDIDATE
KOI-K02191.01,kepler,NON_HABITABLE,1.15,479.0,12.48,8.84784273,0.0699,0.0,3867.0,0.552,0.581,0.06138603095704975,K,-0.9211053453523682,0.35471321763529945,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02274.01,kepler,NON_HABITABLE,2.48,705.0,58.26,9.98970266,0.088,0.0,5265.0,0.81,0.91,0.4542116301109621,G,-1.1299817586653753,0.14622698157992303,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K00235.01,kepler,NON_HABITABLE,2.04,844.0,119.75,5.63252508,0.0598,0.0,5216.0,0.804,0.896,0.43107926996580803,G,-1.184412962728858,0.10421057852460577,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02276.01,kepler,NON_HABITABLE,2.67,2700.0,12557.23,1.442592305,0.0284,0.0,7216.0,2.043,1.462,10.195711585258382,F,-1.2976849130262222,0.006253586019022795,False,False,1,pl_orbeccen,,,CONFIRMED
KOI-K02278.01,kepler,NON_HABITABLE,2.39,873.0,137.33,14.17222858,0.1146,0.0,5845.0,1.314,0.998,1.8156139158544167,G,-1.1927240523894989,0.09394313262793402,False,False,1,pl_orbeccen,,,CONFIRMED
